track_id,tempo,loudness,duration,key,mode,time_signature
TRAAAAW128F429D538,92.198,-11.197,218.93179,1,0,4
TRAAABD128F429CF47,121.274,-9.843,148.03546,6,0,4
TRAAADZ128F9348C2E,100.07,-9.689,177.47546,8,1,1
TRAAAEF128F4273421,119.293,-9.013,233.40363,0,1,4
TRAAAFD128F92F423A,129.738,-4.501,209.60608,2,1,4
TRAAAMO128F1481E7F,147.782,-9.323,267.7024,5,1,3
TRAAAMQ128F1460CD3,111.787,-17.302,114.78159,1,1,1
TRAAAPK128E0786D96,101.43,-11.642,189.57016,4,0,3
TRAAARJ128F9320760,86.643,-13.496,269.81832,4,1,4
TRAAAVG12903CFA543,114.041,-6.697,266.39628,7,0,4
TRAAAVO128F93133D4,146.765,-10.021,218.77506,5,0,1
TRAABCL128F4286650,117.975,-7.545,245.21098,7,1,4
TRAABDL12903CAABBA,130.04,-6.632,226.35057,9,1,4
TRAABJL12903CDCF1A,137.334,-7.75,191.84281,10,0,1
TRAABJV128F1460C49,125.197,-8.346,307.3824,3,1,3
TRAABLR128F423B7E3,119.826,-8.576,491.12771,7,1,4
TRAABNV128F425CEE1,127.756,-16.11,228.5971,8,1,5
TRAABRB128F9306DD5,99.273,-8.032,599.24853,6,1,4
TRAABVM128F92CA9DC,150.062,-5.271,290.29832,7,1,4
TRAABXG128F9318EBD,138.331,-6.787,165.69424,7,1,4
TRAABYN12903CFD305,86.186,-15.221,151.84934,1,1,3
TRAABYW128F4244559,110.382,-8.514,220.78649,11,1,1
TRAACCG128F92E8A55,111.874,-8.05,269.58322,2,1,4
TRAACER128F4290F96,166.862,-4.264,207.77751,7,1,4
TRAACFV128F935E50B,137.522,-12.332,124.86485,10,1,4
TRAACHN128F1489601,164.672,-5.908,225.09669,7,1,1
TRAACIW12903CC0F6D,125.006,-6.486,338.31138,6,0,4
TRAACLV128F427E123,90.022,-4.516,186.48771,5,1,1
TRAACNS128F14A2DF5,127.025,-9.616,168.25424,8,1,4
TRAACOW128F933E35F,95.957,-18.051,156.39465,8,1,3
TRAACPE128F421C1B9,110.189,-11.939,342.56934,6,1,3
TRAACQT128F9331780,138.007,-15.335,484.62322,4,0,4
TRAACSL128F93462F4,130.1,-10.922,164.80608,10,1,1
TRAACTB12903CAAF15,160.839,-9.983,133.32853,4,1,1
TRAACVS128E078BE39,41.993,-7.762,173.66159,7,1,1
TRAACZK128F4243829,189.646,-9.512,313.12934,9,1,3
TRAADDS128F425C68B,130.586,-9.063,450.84689,4,0,4
TRAADED128F42741FD,128.292,-8.879,303.09832,8,0,4
TRAADEV128F9348C0A,90.932,-17.699,128.83546,3,1,3
TRAADHS12903CE70A9,89.667,-19.478,456.30649,1,1,4
TRAADIV12903CB15C1,115.061,-7.469,198.73914,7,1,4
TRAADLH12903CA70EE,115.887,-2.022,95.68608,2,1,4
TRAADLN128F14832E9,139.333,-10.358,271.49016,9,0,1
TRAADLR12903CF8D7E,117.271,-12.716,226.66404,0,1,4
TRAADLX128F1469250,102.428,-15.663,190.48444,3,1,4
TRAADMH128F9343E59,89.984,-6.944,277.78567,2,1,4
TRAADNA128F9331246,116.721,-7.805,248.78975,1,1,4
TRAADOF12903CAA1C1,123.142,-10.7,195.3171,7,1,4
TRAADQX128F422B4CF,141.919,-10.93,175.72526,0,1,4
TRAADRN128F932D607,95.596,-9.493,217.23383,10,0,4
TRAADVH128EF34DE7A,154.953,-9.253,344.05832,11,1,1
TRAADYB128F92D7E73,86.091,-12.009,251.42812,7,1,5
TRAADYI128E078FB38,90.218,-11.043,269.7922,7,1,4
TRAAEAM128F934B199,133.144,-11.506,206.05342,11,0,1
TRAAEDJ12903CCE390,205.317,-14.179,190.04036,2,1,4
TRAAEEH128E0795DFE,180.149,-8.531,241.162,9,1,4
TRAAELO128F9302DD1,102.538,-8.541,122.64444,0,0,4
TRAAEMJ128F425A917,84.164,-6.629,207.0722,0,1,4
TRAAENC128F1451DE9,124.175,-13.33,300.79955,7,1,4
TRAAENP128F147BF32,137.004,-12.412,228.46649,7,1,1
TRAAEOU128F9309DE0,106.33,-21.552,239.59465,7,1,4
